"Date","FullDate","RH","AirTemp","SoilTemp","Rainfall","DewPoint","GustSpeed","LeafWetness","SoilMoisture","WindSpeed","WindDirection"
2020-05-19,"05/19/20 13:50:00",66.4,16.46,18.32,0,10.2,4.7,8.8,0.3015,1.7,105
2020-05-19,"05/19/20 13:55:00",63.9,16.53,18.34,0,9.69,2.3,7.6,0.3011,1.7,101
2020-05-19,"05/19/20 14:00:00",62.5,16.75,18.34,0,9.57,3.3,5.3,0.3011,1.7,105
2020-05-19,"05/19/20 14:05:00",62.9,16.77,18.34,0,9.68,2.7,23.5,0.3011,1.3,104
2020-05-19,"05/19/20 14:10:00",62.8,16.49,18.37,0,9.39,3.3,34.1,0.3015,1.7,101
2020-05-19,"05/19/20 14:15:00",65.3,16.39,18.37,0,9.88,2,34.1,0.3015,1,107
2020-05-19,"05/19/20 14:20:00",66.3,16.32,18.37,0,10.04,2.7,57.1,0.3015,1.3,107
2020-05-19,"05/19/20 14:25:00",65.8,16.27,18.39,0,9.88,3.3,40.6,0.3011,1.3,112
2020-05-19,"05/19/20 14:30:00",65.3,16.51,18.41,0,9.99,2,42.4,0.3011,1.3,112
2020-05-19,"05/19/20 14:35:00",65.4,16.87,18.41,0,10.36,2.3,30,0.3011,1.3,108
2020-05-19,"05/19/20 14:40:00",63.4,17.25,18.41,0,10.25,2,16.5,0.3011,1,105
2020-05-19,"05/19/20 14:45:00",65.5,17.49,18.41,0,10.97,2.7,9.4,0.3011,1.3,107
2020-05-19,"05/19/20 14:50:00",59.5,17.63,18.41,0,9.66,3.7,8.8,0.3011,1.7,108
2020-05-19,"05/19/20 14:55:00",58.1,17.51,18.39,0,9.2,3,5.9,0.3011,1.7,104
2020-05-19,"05/19/20 15:00:00",57.8,17.46,18.41,0,9.08,3.3,3.5,0.3011,1.3,108
2020-05-19,"05/19/20 15:05:00",58.2,17.72,18.41,0,9.42,2,8.2,0.3011,1.3,101
2020-05-19,"05/19/20 15:10:00",56.6,17.87,18.44,0,9.14,2.3,5.3,0.3011,1.3,105
2020-05-19,"05/19/20 15:15:00",55.5,17.8,18.44,0,8.79,3,4.1,0.3011,1.7,98
2020-05-19,"05/19/20 15:20:00",50.2,17.84,18.41,0,7.35,5,2.9,0.3011,2.7,105
2020-05-19,"05/19/20 15:25:00",52.1,17.34,18.41,0,7.44,4.7,33.5,0.3011,2.7,111
2020-05-19,"05/19/20 15:30:00",52.9,16.99,18.41,0,7.33,5.3,14.7,0.3011,2.3,110
2020-05-19,"05/19/20 15:35:00",53,17.06,18.41,0,7.42,5,16.5,0.3011,2.3,102
2020-05-19,"05/19/20 15:40:00",54.7,16.75,18.44,0,7.6,3.7,21.2,0.3011,2,105
