"Date","AirTempMax"
2020-05-19,18.53
2020-05-20,20.56
2020-05-21,23.16
2020-05-22,20.32
2020-05-23,24.87
2020-05-24,29.87
2020-05-25,32.07
2020-05-26,31.41
2020-05-27,29.09
2020-05-28,26.21
2020-05-29,25.28
2020-05-30,20.79
2020-05-31,17.13
2020-06-01,21.8
2020-06-02,28.92
2020-06-03,29.34
2020-06-04,29.07
2020-06-05,25.72
2020-06-06,27.65
2020-06-07,24.6
2020-06-08,26.84
2020-06-09,31.77
2020-06-10,29.82
2020-06-11,24.19
2020-06-12,24.41
2020-06-13,20.41
2020-06-14,21.7
2020-06-15,24
2020-06-16,25.79
2020-06-17,25.43
2020-06-18,26.5
2020-06-19,27.46
2020-06-20,30.24
2020-06-21,31.15
2020-06-22,24.85
2020-06-23,24.39
2020-06-24,23.57
2020-06-25,26.92
2020-06-26,28.2
2020-06-27,25.79
2020-06-28,29.04
2020-06-29,29.59
2020-06-30,30.8
2020-07-01,29.04
2020-07-02,31.03
2020-07-03,31.36
2020-07-04,31.59
2020-07-05,32.12
2020-07-06,33.6
2020-07-07,32.92
2020-07-08,31.18
2020-07-09,33.05
2020-07-10,32.79
2020-07-11,27.04
2020-07-12,26.67
2020-07-13,26.94
2020-07-14,28.22
2020-07-15,30.12
2020-07-16,30.49
2020-07-17,30.67
2020-07-18,32.3
2020-07-19,31.71
2020-07-20,30.67
2020-07-21,28.72
2020-07-22,27.7
2020-07-23,26.06
2020-07-24,29.36
2020-07-25,29.46
2020-07-26,30.62
2020-07-27,32
2020-07-28,28.42
2020-07-29,30.09
2020-07-30,26.33
2020-07-31,29.34
2020-08-01,26.23
2020-08-02,22.27
2020-08-03,27.43
2020-08-04,24.6
2020-08-05,24.58
2020-08-06,26.67
2020-08-07,27.95
2020-08-08,27.48
2020-08-09,29.56
2020-08-10,31.41
2020-08-11,29.92
2020-08-12,29.69
2020-08-13,32.2
2020-08-14,30.9
2020-08-15,23.42
2020-08-16,26.84
2020-08-17,28.02
2020-08-18,26.48
2020-08-19,24.7
2020-08-20,28.17
2020-08-21,29.39
2020-08-22,32.54
2020-08-23,29.89
2020-08-24,30.98
2020-08-25,31.84
2020-08-26,28.82
2020-08-27,30.42
2020-08-28,28.59
2020-08-29,26.67
2020-08-30,24.53
2020-08-31,23.74
2020-09-01,28.54
2020-09-02,27.31
2020-09-03,24.77
2020-09-04,24.29
2020-09-05,26.26
2020-09-06,25.31
2020-09-07,24.73
2020-09-08,29.34
2020-09-09,30.37
2020-09-10,28.49
2020-09-11,20.13
2020-09-12,28.25
2020-09-13,24.29
2020-09-14,20.7
2020-09-15,19.89
2020-09-16,24.05
2020-09-17,19.96
2020-09-18,18.46
2020-09-19,17.77
2020-09-20,19.6
2020-09-21,19.84
2020-09-22,21.27
2020-09-23,24.99
2020-09-24,24.19
2020-09-25,25.89
2020-09-26,25.55
2020-09-27,25.14
2020-09-28,25.7
2020-09-29,16.15
2020-09-30,17.15
2020-10-01,18.06
2020-10-02,14.53
2020-10-03,15.84
2020-10-04,19.17
2020-10-05,15.58
2020-10-06,18.65
2020-10-07,22.94
2020-10-08,19.1
2020-10-09,23.4
2020-10-10,22.7
2020-10-11,19.79
2020-10-12,21.7
2020-10-13,17.08
2020-10-14,19.86
2020-10-15,19.13
2020-10-16,12.9
2020-10-17,14.65
2020-10-18,16.18
2020-10-19,13.62
2020-10-20,14.74
2020-10-21,21.46
2020-10-22,25.72
2020-10-23,25.82
2020-10-24,16.42
2020-10-25,11.1
2020-10-26,10.69
2020-10-27,9.19
2020-10-28,10.96
2020-10-29,8.94
2020-10-30,7.27
2020-10-31,9.36
2020-11-01,11.49
2020-11-02,6.08
2020-11-03,13.64
2020-11-04,19.63
2020-11-05,20.44
2020-11-06,20.25
2020-11-07,21.82
2020-11-08,24.58
2020-11-09,24
2020-11-10,25.19
2020-11-11,20.1
2020-11-12,11.44
2020-11-13,12.32
2020-11-14,7.82
2020-11-15,14.7
