"Date","AirTempMin"
2020-05-19,11.18
2020-05-20,9.19
2020-05-21,11.59
2020-05-22,13.67
2020-05-23,10.54
2020-05-24,15.13
2020-05-25,18.03
2020-05-26,18.1
2020-05-27,17.42
2020-05-28,17.37
2020-05-29,12.32
2020-05-30,10.25
2020-05-31,7.22
2020-06-01,3.22
2020-06-02,11.56
2020-06-03,20.72
2020-06-04,17.08
2020-06-05,17.65
2020-06-06,18.03
2020-06-07,10.42
2020-06-08,9.73
2020-06-09,15.1
2020-06-10,18.94
2020-06-11,15.68
2020-06-12,11.86
2020-06-13,10.66
2020-06-14,8.22
2020-06-15,13.26
2020-06-16,12.36
2020-06-17,12.65
2020-06-18,15.72
2020-06-19,15.82
2020-06-20,14.55
2020-06-21,17.82
2020-06-22,18.53
2020-06-23,16.39
2020-06-24,13.47
2020-06-25,13.33
2020-06-26,14.84
2020-06-27,19.65
2020-06-28,17.72
2020-06-29,14.39
2020-06-30,15.68
2020-07-01,16.92
2020-07-02,16.01
2020-07-03,16.15
2020-07-04,18.72
2020-07-05,15.49
2020-07-06,17.53
2020-07-07,20.06
2020-07-08,18.22
2020-07-09,19.6
2020-07-10,20.29
2020-07-11,19.13
2020-07-12,16.7
2020-07-13,16.53
2020-07-14,13.47
2020-07-15,15.44
2020-07-16,19.84
2020-07-17,19.79
2020-07-18,17.91
2020-07-19,21.44
2020-07-20,20.34
2020-07-21,19.65
2020-07-22,19.58
2020-07-23,20.22
2020-07-24,19.03
2020-07-25,15.8
2020-07-26,17.82
2020-07-27,20.03
2020-07-28,19.48
2020-07-29,16.44
2020-07-30,19.01
2020-07-31,17.75
2020-08-01,18.51
2020-08-02,17.46
2020-08-03,15.99
2020-08-04,17.2
2020-08-05,13.95
2020-08-06,14.17
2020-08-07,15.15
2020-08-08,13.4
2020-08-09,14.6
2020-08-10,18.25
2020-08-11,20.34
2020-08-12,17.53
2020-08-13,16.8
2020-08-14,21.44
2020-08-15,15.44
2020-08-16,13.69
2020-08-17,15.25
2020-08-18,14.17
2020-08-19,10.66
2020-08-20,9.36
2020-08-21,14.1
2020-08-22,16.22
2020-08-23,18.37
2020-08-24,19.1
2020-08-25,16.72
2020-08-26,14.15
2020-08-27,18.82
2020-08-28,19.79
2020-08-29,17.3
2020-08-30,13.14
2020-08-31,13.35
2020-09-01,18.82
2020-09-02,20.08
2020-09-03,18.39
2020-09-04,12.85
2020-09-05,10.03
2020-09-06,13.04
2020-09-07,17.42
2020-09-08,17.03
2020-09-09,16.56
2020-09-10,17.44
2020-09-11,14.43
2020-09-12,13.18
2020-09-13,17.01
2020-09-14,10.69
2020-09-15,5.74
2020-09-16,8.89
2020-09-17,11.86
2020-09-18,6.86
2020-09-19,2.37
2020-09-20,3.17
2020-09-21,5.31
2020-09-22,3.93
2020-09-23,9.16
2020-09-24,13.4
2020-09-25,12.1
2020-09-26,13.23
2020-09-27,14.98
2020-09-28,12.9
2020-09-29,10.08
2020-09-30,8.47
2020-10-01,6.71
2020-10-02,4.79
2020-10-03,2.69
2020-10-04,8.02
2020-10-05,5.69
2020-10-06,3.98
2020-10-07,9.85
2020-10-08,6.41
2020-10-09,7.12
2020-10-10,14.7
2020-10-11,15.84
2020-10-12,14.22
2020-10-13,8.94
2020-10-14,6.84
2020-10-15,8.02
2020-10-16,2.45
2020-10-17,0.8
2020-10-18,5.54
2020-10-19,10.08
2020-10-20,10.47
2020-10-21,13.18
2020-10-22,14.7
2020-10-23,14.12
2020-10-24,4.14
2020-10-25,1.94
2020-10-26,7.09
2020-10-27,6.51
2020-10-28,7.59
2020-10-29,7.14
2020-10-30,0.66
2020-10-31,-2.13
2020-11-01,-0.79
2020-11-02,-1.21
2020-11-03,1.45
2020-11-04,5.59
2020-11-05,8.67
2020-11-06,7.47
2020-11-07,7.47
2020-11-08,10.17
2020-11-09,10.93
2020-11-10,12.36
2020-11-11,6.2
2020-11-12,2.07
2020-11-13,1.51
2020-11-14,-3.6
2020-11-15,7.12
